source,category,subcategory,label,era,updated_on,image,name,notes,line_type,image_type,author,license,gauge
MLG Traffic,CAIB Benelux,,Shimmns 358,,20190331,images/NL_P/CAIB_Shimmns_VR,CAIB_Shimmns_VR,http://mlgtraffic.net/NL_E_WP.xml,1,plain,,CC BY-NC-SA 3.0,
MLG Traffic,VAM,,Takkls 850,,20061008,images/NS/W/VAM_Takkls850,VAM_Takkls850,Trash transport. http://mlgtraffic.net/NL_E_WP.xml,1,plain,,CC BY-NC-SA 3.0,
MLG Traffic,VAM,,VAM Takkls 850,,20070311,images/NS/W/VAM_Takkls850_B,VAM_Takkls850_B,Birthday livery. http://mlgtraffic.net/NL_E_WP.xml,1,plain,,CC BY-NC-SA 3.0,
MLG Traffic,Wagon Care Capital,,Fcs,6,20200927,images/NL_P/WCB_Fcs2,WCB_Fcs2,"Light grey livery, Wagon Care Capital logo. http://mlgtraffic.net/NL_E_WP.xml",2,sides,,CC BY-NC-SA 3.0,
MLG Traffic,Wagon Care Capital,,Tadgs,6,20170326,images/NL_P/WCB_Tadgs,WCB_Tadgs,"40 units, former GySEV. http://mlgtraffic.net/NL_E_WP.xml",2,sides,,CC BY-NC-SA 3.0,
MLG Traffic,Wagon Care Capital,,Tadgs,6,20170326,images/NL_P/WCB_Tadgs_Grawaco,WCB_Tadgs_Grawaco,With Grawaco logo. http://mlgtraffic.net/NL_E_WP.xml,2,sides,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,TER 2N,Z 23500,6,20180326,images/SNCF/AE/Z23500_T2BHdF_M,Z23500_T2BHdF_M,New livery after refurbishment (first unit : 23506 in 2017). http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,TER 2N,Z 23500,6,20180326,images/SNCF/AE/Z23500_T2BHdF_R,Z23500_T2BHdF_R,New livery after refurbishment (first unit : 23506 in 2017). http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,TER 2N NG,Z 24500,6,20240331,images/SNCF/AE/Z24500_HdF_Z3,Z24500_HdF_Z3,Final Hauts de France livery with green doors. http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,TER 2N NG,Z 24500,6,20240331,images/SNCF/AE/Z24500_HdF_Z5,Z24500_HdF_Z5,Final Hauts de France livery with green doors. http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,TER 2N NG,Z 24500,6,20240331,images/SNCF/AE/Z24500_HdF_Z1,Z24500_HdF_Z1,Final Hauts de France livery with green doors. http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,Regio 2N,Z 55500 M,6,20190929,images/SNCF/AE/Regio2N_VE1N2_T2BHdF,Regio2N_VE1N2_T2BHdF,TER Hauts de France livery. http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,Regio 2N,Z 55500 M,6,20190929,images/SNCF/AE/Regio2N_VI1N2_T2BHdF,Regio2N_VI1N2_T2BHdF,TER Hauts de France livery. http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides_R,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,Regio 2N,Z 55500 M,6,20190929,images/SNCF/AE/Regio2N_VI1N2b_T2BHdF,Regio2N_VI1N2b_T2BHdF,TER Hauts de France livery. http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides_L,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,Regio 2N,Z 55500 M,6,20190929,images/SNCF/AE/Regio2N_VI2NL_T2BHdF,Regio2N_VI2NL_T2BHdF,TER Hauts de France livery. http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,Regio 2N,Z 55500 M,6,20190929,images/SNCF/AE/Regio2N_VI1N3b_T2BHdF,Regio2N_VI1N3b_T2BHdF,TER Hauts de France livery. http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides_L,,CC BY-NC-SA 3.0,
MLG Traffic,EMU,Regio 2N,Z 55500 M,6,20190929,images/SNCF/AE/Regio2N_VI1N3_T2BHdF,Regio2N_VI1N3_T2BHdF,TER Hauts de France livery. http://mlgtraffic.net/SNCF_E_REG_HdF.xml,2,sides_R,,CC BY-NC-SA 3.0,
